post_title,post_content,wdm_opening_bid,wdm_lowest_bid,wdm_incremental_val,wdm-image-1,wdm_auction_thumb,wdm-main-image,post_type,wdm_listing_ends,wdm_payment_method,auction-status
Abajur Amarela,Abajur Amarela - 03 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Abajur-Amarela-n°01.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Abajur-Amarela-n°01.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Abajur Laranja,Abajur Laranja - 01 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Abajur-Laranja-n°02.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Abajur-Laranja-n°02.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Abajur Verde,Abajur Verde - 02 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Abajur-Verde-n°03.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Abajur-Verde-n°03.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Abajur Vermelha,Abajur Vermelha - 01 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Abajur-Vermelha-n°04.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Abajur-Vermelha-n°04.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Água mineral TIETE (Amostra),Água mineral TIETE (Amostra) - 01 UND,1,1,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Água-Mineral-Tiete-Amostra-n°05.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Água-Mineral-Tiete-Amostra-n°05.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Armazenador de Dados At&t,Armazenador de Dados At&t - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Armazenador-de-Dados-n°06.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Armazenador-de-Dados-n°06.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Azulejo decorado,Azulejo decorado - 02 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Azulejo-Decorado-n°07.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Azulejo-Decorado-n°07.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
"Balança para malas""ODEBRECHT""","Balança para malas""ODEBRECHT"" - 01 UND",5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Balança-para-malas-Odebrecht-n°08.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Balança-para-malas-Odebrecht-n°08.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Banco e Cooler de praia Skol,Banco e Cooler de praia Skol - 02 UND,8,8,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Banco-e-Cooler-de-Praia-Skol-n°09.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Banco-e-Cooler-de-Praia-Skol-n°09.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bandeira Brahma Avaí,Bandeira Brahma Avaí - 01 UND,1,1,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bandeira-Brahma-Avai-F.C-n°10.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bandeira-Brahma-Avai-F.C-n°10.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bandeira Brahma Figueirense,Bandeira Brahma Figueirense - 01 UND,1,1,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bandeira-Brahma-Figueirense-F.C-n°11.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bandeira-Brahma-Figueirense-F.C-n°11.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bola abajur (Guaraná antártica),Bola abajur (Guaraná antártica) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Abajur-Guaraná-Antartica-n°12.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Abajur-Guaraná-Antartica-n°12.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bola de golf,Bola de golf - 01 UND,1,1,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-de-Golf-n°13.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-de-Golf-n°13.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bola Facebook,Bola Facebook - 04 UND,10,10,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Facebook-n°14.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Facebook-n°14.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
